id,email,fav_designer,fav_color,fav_shop
771,bjedraszczykot@delicious.com,Nike,purple,"O'Keefe, Hodkiewicz and Wisoky"
772,vbrouncker72@ucoz.ru,Burberry,pink,"Emmerich, Boyer and Baumbach"
773,fforrest3b@histats.com,Gucci,red,Murray and Sons
774,gchaferph@ed.gov,Prada,gray,Goyette-Crist
775,dwedderburnrp@arstechnica.com,Pierre Cardin,pink,Davis Inc
776,efairniekv@moonfruit.com,Dior,purple,"Wiegand, Balistreri and Thiel"
777,ebettenay2r@naver.com,Dior,yellow,Oberbrunner LLC
778,rsaylorm6@xing.com,Dior,purple,"Johns, Wilderman and Lebsack"
779,abaszkiewiczq@dedecms.com,Valentino,green,Torphy-Bernhard
780,dhandrahan9m@marriott.com,Tom Ford,black,Eichmann LLC
781,agaynsfordv@tripod.com,Burberry,brown,"Smith, Ratke and Labadie"
782,lvictoria66@photobucket.com,Tommy Hilfiger,orange,Marquardt Group
783,slanderd8@state.tx.us,Burberry,black,Williamson-Miller
784,mimlachn1@huffingtonpost.com,Prada,brown,"Bartoletti, Waters and Roberts"
785,cbushnellk1@yandex.ru,Armani,black,Swift Group
786,adixsonbv@liveinternet.ru,Gucci,blue,Gutmann LLC
787,palloisim9@bbb.org,Nike,white,Buckridge Group
788,wminnockp8@biblegateway.com,Asprey,gray,Schinner Group
789,nsizelandf6@usa.gov,Fendi,green,Hammes LLC
790,rgentile6m@plala.or.jp,D&G,yellow,Nienow-Weber
791,ddaudap@so-net.ne.jp,Gucci,blue,Roberts and Sons
792,jdeortega91@ftc.gov,Versace,blue,"Roberts, Friesen and Johnston"
793,dtuft1f@gizmodo.com,Prada,orange,Abshire-Moen
794,rmaccourtnw@newsvine.com,Tommy Hilfiger,blue,Hyatt-Strosin
795,rmarshlandr@ocn.ne.jp,Channel,pink,"Bins, Schaden and Block"
796,dbentzennh@timesonline.co.uk,Prada,green,Heller-Kling
797,lmcclurg6p@com.com,Louis Vuitton,green,Bernhard and Sons
798,rfairrie7j@sohu.com,Balenciaga,pink,Koepp LLC
799,eleverettdh@hatena.ne.jp,Pierre Cardin,white,Stark Inc
800,selloy60@toplist.cz,Pierre Cardin,gray,"Murray, Berge and Tromp"
801,epummeryf0@nasa.gov,Tommy Hilfiger,orange,"McLaughlin, Stanton and Rohan"
802,elerwill7b@arstechnica.com,Dior,blue,Medhurst Group
803,aeamcm@amazonaws.com,Nike,purple,Kemmer-Langosh
804,spendergastnu@eventbrite.com,D&G,pink,Stiedemann-Bernier
805,bfossickl7@theguardian.com,Prada,red,Carter Inc
806,bboatrightn2@dot.gov,Valentino,yellow,Gottlieb Group
807,tnevett1s@over-blog.com,Tommy Hilfiger,white,Harber and Sons
808,jciccottini45@newsvine.com,Burberry,purple,"Marquardt, Klein and Ratke"
809,mgatlinkr@naver.com,D&G,brown,"Marks, Kling and Schroeder"
810,rharmstone2u@oaic.gov.au,Valentino,green,Beahan LLC
811,dasch31@time.com,Channel,pink,"Kuvalis, Smitham and Abbott"
812,rbunston65@blog.com,Pierre Cardin,green,"McLaughlin, Hills and Kris"
813,tmcaulayb6@issuu.com,Gucci,yellow,MacGyver Group
814,adurtnalllx@flavors.me,Valentino,pink,"Rolfson, Doyle and Anderson"
815,dhatchmaneb@webeden.co.uk,Dior,white,Morar-Parker
816,lcharonib@wordpress.com,Louis Vuitton,pink,Murray-Krajcik
817,sdooreme@meetup.com,Fendi,pink,Yost LLC
818,pstylesoc@tmall.com,Asprey,black,Mayert-Bednar
819,oboeckeh2@goo.ne.jp,Burberry,orange,Cummerata Group
820,skruszelnicki4l@g.co,Burberry,blue,"Rutherford, Miller and Stanton"
821,mrearyhv@wordpress.com,Louis Vuitton,purple,"Heller, Bahringer and Ratke"
822,aboaler2o@a8.net,Louis Vuitton,green,Turcotte-Weissnat
823,aafonsok4@alexa.com,Louis Vuitton,orange,Douglas-Abernathy
824,abultermw@phpbb.com,Valentino,gray,Kuhic-Ryan
825,abarffae@huffingtonpost.com,Channel,green,Waelchi Inc
826,nwhitmandy@skype.com,Fendi,purple,Mante-Mayert
827,bfielderjz@live.com,Tommy Hilfiger,purple,"Koepp, Steuber and Dare"
828,ygoodings7m@devhub.com,Valentino,purple,"Bailey, Nitzsche and Lubowitz"
829,rmaccourtnw@newsvine.com,Pierre Cardin,yellow,O'Keefe LLC
830,amccurlye44@mediafire.com,D&G,black,Kuhic-Hand
831,acossticko@va.gov,Tommy Hilfiger,yellow,Krajcik-Funk
832,sverrallf1@va.gov,Tommy Hilfiger,gray,Fritsch-Kub
833,mscawenpk@yandex.ru,D&G,orange,Schultz Inc
834,cgutierrezmn@noaa.gov,Gucci,white,Hansen and Sons
835,ekillbey34@chicagotribune.com,Versace,brown,"Mante, Ledner and Kerluke"
836,mgarbottck@senate.gov,Tommy Hilfiger,gray,Weimann Inc
837,voxbiepb@angelfire.com,Nike,blue,Powlowski Inc
838,mmuneelym0@people.com.cn,Channel,white,"Wisoky, Bogisich and Hudson"
839,soatsgz@netlog.com,Versace,blue,Ziemann and Sons
840,cfantonettiq7@springer.com,Tommy Hilfiger,brown,Fritsch Group
841,abarffae@huffingtonpost.com,Valentino,purple,Tromp Inc
842,wdrysdallod@imageshack.us,D&G,yellow,"Champlin, Baumbach and Botsford"
843,tselwinb8@ustream.tv,Asprey,black,"Deckow, Bins and Macejkovic"
844,gtythertonj7@cdbaby.com,Channel,gray,"Schroeder, Denesik and Ondricka"
845,cpaddingtonqk@bigcartel.com,Prada,white,Koelpin-Veum
846,jbeurich4x@umich.edu,Balenciaga,green,Block-Rodriguez
847,rsaylorm6@xing.com,Prada,brown,Kassulke Group
848,cclaibournb2@sphinn.com,D&G,white,Hayes-Wolff
849,grothon28@geocities.com,Versace,blue,"Howe, Baumbach and Swaniawski"
850,opiochni@hc360.com,Asprey,orange,"Robel, Davis and Harvey"
851,awalcot35@list-manage.com,Fendi,yellow,"Little, Christiansen and Padberg"
852,arowantreelq@github.io,Versace,pink,Littel and Sons
853,mcawthorne5f@umich.edu,Balenciaga,gray,"Robel, Torp and Blanda"
854,tkeallf@sina.com.cn,Versace,gray,Luettgen-Corwin
855,rorbinebp@studiopress.com,Channel,brown,"Sauer, Connelly and Sporer"
856,vpetzoldbg@guardian.co.uk,Pierre Cardin,orange,Pacocha-Zieme
857,lchaters2a@guardian.co.uk,Asprey,gray,Schuppe LLC
858,rliddyo2@mail.ru,Channel,purple,"Kohler, Hyatt and Morar"
859,lkobes3l@pen.io,Burberry,red,"Friesen, Waelchi and Larson"
860,kpitsall3y@mtv.com,Nike,blue,Grimes-Schinner
861,rheavyside5g@techcrunch.com,Burberry,white,"Kulas, Lang and Hilll"
862,jhallewellm1@flickr.com,Fendi,blue,Barton-Batz
863,raaronsohnos@chicagotribune.com,Pierre Cardin,red,Ledner Group
864,ghitzmannog@xing.com,Tom Ford,orange,Murazik-Gislason
865,ualexandrescu2y@seesaa.net,Valentino,black,"Price, Daugherty and Hudson"
866,pmcilhaggap@flavors.me,Versace,gray,Pacocha-Turcotte
867,klivingstone8@deliciousdays.com,Dior,gray,Keebler LLC
868,klivingstone8@deliciousdays.com,Channel,red,Vandervort-Rowe
869,adelaeglise7n@nature.com,Burberry,black,Streich LLC
870,joswald1b@ameblo.jp,Valentino,brown,"Parisian, Corwin and Wehner"
871,bgoldsoniw@simplemachines.org,Armani,blue,"Dickinson, Hackett and Koepp"
872,rharmstone2u@oaic.gov.au,D&G,gray,"Daniel, Keebler and Kuphal"
873,cpomfrettrm@google.com.hk,Tom Ford,gray,Friesen Inc
874,mbaldinottibl@cmu.edu,Nike,red,White-Schulist
875,dsansay@studiopress.com,Gucci,yellow,"Bauch, Kerluke and Howell"
876,lgossere@about.me,Versace,yellow,"Gutkowski, Douglas and Konopelski"
877,mbeetham1p@ca.gov,Versace,gray,Treutel-Carroll
878,khurrellqz@netscape.com,Burberry,red,Sawayn and Sons
879,jhallewellm1@flickr.com,Pierre Cardin,red,Kessler-Stoltenberg
880,rbilbeelm@engadget.com,Dior,orange,"Konopelski, Gleason and Gerlach"
881,tvassman7d@whitehouse.gov,Burberry,black,Halvorson Group
882,jromaines59@sphinn.com,Armani,red,Bins Group
883,rhanstockbm@qq.com,Versace,green,"O'Hara, Conn and Leffler"
884,rivachyov8g@miitbeian.gov.cn,Prada,red,"Runte, West and Schroeder"
885,ecordym5@homestead.com,Fendi,pink,Lockman and Sons
886,phabbaljx@google.it,Burberry,purple,"McLaughlin, Wolff and Torphy"
887,vagg5m@guardian.co.uk,Armani,blue,"Rath, Schmidt and Denesik"
888,ibranchflower78@un.org,Dior,purple,Mitchell Inc
889,ddallines@google.com.br,Dior,pink,"Ankunding, Mueller and Labadie"
890,myesininn4@hugedomains.com,Tom Ford,pink,"Lueilwitz, Fritsch and Moore"
891,njarayd5@weibo.com,Armani,brown,Daugherty LLC
892,kboolsrf@dropbox.com,Tom Ford,green,Mitchell Group
893,nbressonju@ebay.co.uk,Louis Vuitton,green,"Jacobi, Langosh and Strosin"
894,ghacker5o@cbsnews.com,Tommy Hilfiger,purple,"Dooley, O'Hara and Fadel"
895,toakwelllj@utexas.edu,Dior,orange,"Ruecker, Ratke and Wolf"
896,ualexandrescu2y@seesaa.net,Burberry,black,Hauck and Sons
897,ahaxbyjj@opensource.org,Balenciaga,brown,Homenick Group
898,akorbmakergs@usatoday.com,Asprey,yellow,"Tillman, Schroeder and Hodkiewicz"
899,obraneiz@loc.gov,Balenciaga,pink,"Bartoletti, Williamson and Rowe"
900,ascrancheri6@cbslocal.com,Fendi,black,Leannon Group
901,tgussie7y@bloomberg.com,Valentino,pink,"Howe, Keeling and Zulauf"
902,dspedronibc@amazon.de,Fendi,orange,Powlowski Inc
903,jdeortega91@ftc.gov,Asprey,yellow,"McCullough, Quigley and Hansen"
904,acannanqt@spotify.com,Balenciaga,blue,Hoeger Inc
905,srappsdc@w3.org,Valentino,gray,Rice-Grady
906,binglissb1@phoca.cz,Louis Vuitton,brown,"Torp, Bartell and Borer"
907,jwitteyoh@springer.com,D&G,white,Botsford Inc
908,afroneket@wufoo.com,Dior,yellow,"Smith, Kub and Mraz"
909,fcottey7f@bravesites.com,Asprey,yellow,Lockman LLC
910,rhedylstone7l@pen.io,Tom Ford,white,"Littel, Crooks and McKenzie"
911,tselwinb8@ustream.tv,Fendi,gray,Cronin-Beahan
912,dkynetonmu@nih.gov,Gucci,brown,Hegmann-Kovacek
913,dbuterton8c@ucoz.ru,D&G,red,Nolan Inc
914,darlettnn@sohu.com,Versace,gray,"Wintheiser, Johnston and Volkman"
915,fdengateo1@army.mil,Valentino,brown,Okuneva Group
916,llomenbw@printfriendly.com,D&G,orange,Turcotte Group
917,fossennaj6@si.edu,Fendi,purple,Crona Group
918,rregi46@usa.gov,Balenciaga,black,"Hoeger, Tremblay and Mraz"
919,mburletonpj@slate.com,Balenciaga,brown,Schinner-Doyle
920,gmeanwellea@mozilla.org,Asprey,blue,Cole-Shields
921,kphilpotshg@multiply.com,Pierre Cardin,gray,Ward LLC
922,hbricekq@twitpic.com,Valentino,purple,Denesik-Rippin
923,zsmewingfc@vinaora.com,Tom Ford,black,"Walker, Schneider and Jenkins"
924,rdurbynp0@ovh.net,Asprey,black,Ziemann Group
925,gfaichneyl9@mit.edu,Channel,red,DuBuque and Sons
926,sfalcusf5@pbs.org,Tommy Hilfiger,red,Armstrong Inc
927,efairniekv@moonfruit.com,Prada,gray,Welch and Sons
928,lbrotheridgepv@disqus.com,Channel,gray,"Aufderhar, Aufderhar and Bednar"
929,hyaknov3j@harvard.edu,Versace,purple,O'Connell Inc
930,tmcclaurien7@about.me,Pierre Cardin,yellow,Fadel-Parker
931,tdresselon@ted.com,Armani,brown,Schmitt and Sons
932,cjanuszewskif3@nps.gov,Fendi,black,Shanahan-O'Keefe
933,eleverettdh@hatena.ne.jp,Burberry,purple,Bode-O'Hara
934,ckeach9u@prweb.com,Nike,orange,Hahn-Hirthe
935,ahardes8p@state.tx.us,Burberry,black,Kulas and Sons
936,lrockliffeix@arizona.edu,Channel,black,Zulauf-Auer
937,etraskt@bravesites.com,Nike,red,"Zemlak, Kozey and Hyatt"
938,qfendlow8u@networksolutions.com,D&G,blue,"Pagac, Boyle and Mills"
939,fjayumegv@army.mil,Louis Vuitton,gray,Ernser Group
940,adonaghyhe@youku.com,Nike,purple,"O'Hara, Witting and Treutel"
941,bbardb0@bloomberg.com,Channel,brown,Runte-Hahn
942,sbrunotti33@unicef.org,Louis Vuitton,pink,Keebler Group
943,bbruins2s@ca.gov,Asprey,orange,Deckow Group
944,cbroske24@discovery.com,Balenciaga,yellow,"O'Conner, Romaguera and Gottlieb"
945,rstive85@mapquest.com,Asprey,gray,"Langworth, Goodwin and Hane"
946,kphilpotshg@multiply.com,Burberry,blue,Durgan-Cremin
947,mleleu4@google.ru,Pierre Cardin,pink,Toy-Olson
948,zwesternk9@zdnet.com,Versace,red,"Nitzsche, Cummerata and Hermiston"
949,acromleye3@list-manage.com,Pierre Cardin,black,"Nader, Satterfield and Veum"
950,jupshall97@e-recht24.de,D&G,purple,Wolff Group
951,dwhatley74@virginia.edu,Burberry,black,"Cassin, Gusikowski and Breitenberg"
952,pbellanyqg@businessweek.com,Nike,white,"Howell, Considine and Toy"
953,lpimmjn@sphinn.com,Pierre Cardin,blue,Witting and Sons
954,rharmstone2u@oaic.gov.au,Asprey,brown,"Kuhlman, Pollich and Howell"
955,nsizelandf6@usa.gov,D&G,black,Wunsch Inc
956,rpointingo0@guardian.co.uk,Channel,blue,Cartwright-Dooley
957,pdilley52@theguardian.com,Armani,yellow,Dach-Swift
958,tklaessenno@fc2.com,Prada,yellow,Muller-Schamberger
959,gdominkaoo@xing.com,Asprey,black,Hermiston Inc
960,shinkley43@usatoday.com,Pierre Cardin,gray,Halvorson-Murphy
961,bleads5w@cdc.gov,Versace,brown,"Daniel, Dickinson and Schultz"
962,bswateridgemi@issuu.com,Dior,blue,Ferry and Sons
963,bpaslowai@themeforest.net,Asprey,green,Medhurst-Wunsch
964,cclaibournb2@sphinn.com,Pierre Cardin,green,"Emard, Luettgen and Lindgren"
965,kivankovichr@virginia.edu,Dior,yellow,"Leannon, Price and Hermann"
966,mburletonpj@slate.com,Armani,black,Jones LLC
967,gcowplandnp@toplist.cz,Burberry,green,Dach-Greenfelder
968,sworsnop8y@apache.org,Louis Vuitton,yellow,"Hegmann, Blanda and Goodwin"
969,awinfindaleb4@mtv.com,Versace,gray,"Kutch, Hoppe and Toy"
970,dwestlaken6@columbia.edu,Armani,gray,"Hagenes, Mueller and Gerlach"
971,rcopperwaite8o@eventbrite.com,D&G,blue,Kiehn Inc
972,lkerridgelw@nbcnews.com,Versace,gray,Mitchell-Corkery
973,mscawenpk@yandex.ru,Valentino,green,Nader Group
974,lvictoria66@photobucket.com,Channel,blue,Dietrich and Sons
975,ddaudap@so-net.ne.jp,Prada,red,Schuppe-Lakin
976,mwilber1e@goo.gl,Versace,black,"Lockman, Denesik and Hoeger"
977,cwillingam3g@macromedia.com,Dior,pink,"Kuhlman, Hand and Pagac"
978,njarayd5@weibo.com,Gucci,blue,"Bogisich, Hand and Keebler"
979,nabbets3o@wufoo.com,Armani,orange,Koch Inc
980,abonnor5h@lycos.com,Louis Vuitton,brown,Braun-Littel
981,jjappou@google.co.uk,Fendi,black,Hane-Herman
982,gtowlsonls@4shared.com,Versace,red,Bahringer LLC
983,ssharrockku@ucla.edu,Pierre Cardin,orange,Murray Inc
984,ksouthertonp1@businessinsider.com,Dior,gray,Jacobson-O'Kon
985,fbettsh9@loc.gov,Armani,yellow,Luettgen LLC
986,cbrownsworth75@yellowpages.com,Burberry,pink,Douglas Group
987,yvignaux7o@storify.com,Tommy Hilfiger,black,"Rempel, Prohaska and Stracke"
988,hryrie29@dailymail.co.uk,Gucci,blue,Bernhard Group
989,mrevancn@soup.io,Burberry,blue,"Wiza, Pfeffer and Conn"
990,raspinallqu@amazon.co.jp,Fendi,red,Feest Group
991,bjedraszczykot@delicious.com,Tommy Hilfiger,blue,"Carroll, Ruecker and McKenzie"
992,saymes5r@bloglovin.com,Armani,green,"Johnston, Windler and Ward"
993,jfuggle3m@netvibes.com,Fendi,white,"Pacocha, Flatley and Ortiz"
994,dtilsleye5@hubpages.com,D&G,blue,Willms-Casper
995,bpellmanr7@pinterest.com,Balenciaga,blue,Baumbach and Sons
996,gfluckerd6@java.com,Armani,green,"Gislason, Lueilwitz and Abernathy"
997,pcorona95@simplemachines.org,Balenciaga,purple,Johnson and Sons
998,bajamov@earthlink.net,Prada,yellow,Fritsch and Sons
999,lmcclurg6p@com.com,Armani,purple,Tremblay-Wilkinson
1000,dmuttittgu@google.pl,Valentino,orange,Nikolaus and Sons
